rate_Kp_roll,rate_Kp_pitch,rate_Kp_yaw,rbfnn_lr,cost_score
0.25,0.25,0.2,0.01,0.00023581079266979906
0.25,0.25,0.2,0.05,0.00018712869644508048
0.25,0.25,0.3,0.01,0.00014425725358088173
0.25,0.25,0.3,0.05,6.22236927090589e-05
0.35,0.35,0.2,0.01,0.00013135218652246043
0.25,0.25,0.2,0.01,0.00013218010156912906
0.25,0.25,0.2,0.05,9.091952989450488e-05
0.25,0.25,0.3,0.01,0.000414311723509074
0.25,0.25,0.3,0.05,0.00031422715011208063
0.25,0.25,0.2,0.01,68.98268521157026
0.25,0.25,0.2,0.05,inf
0.25,0.25,0.3,0.01,inf
0.25,0.25,0.3,0.05,inf
0.35,0.35,0.2,0.01,87.67048161652893
0.35,0.35,0.2,0.05,inf
0.35,0.35,0.3,0.01,inf
0.25,0.25,0.2,0.01,inf
0.25,0.25,0.2,0.01,inf
0.25,0.25,0.2,0.05,419.212325214996
0.25,0.25,0.3,0.01,inf
0.25,0.25,0.3,0.05,inf
1.4732,1.4732,0.5352,0.61152,14.0655
1.4697,1.4697,0.2030,0.78124,793.3405
1.0532,1.0532,0.2650,0.33725,16.0715
1.0933,1.0933,0.2889,0.04949,20.3344
0.5993,0.5993,0.4061,0.08601,inf
